feature_set,best_model,n_features,MAE (g/kg),RMSE (g/kg),R²
With TREFMXAV_U_C,Gradient Boosting,11,0.39067644090764675,0.5359531119033214,0.9424526442315087
Without TREFMXAV_U_C,Gradient Boosting,10,0.40599382954716295,0.551919221409069,0.9389728880510813
